customer_id,order_id,product_category,purchase_date,return_request_date,days_to_return_request,return_window_days,within_return_window,order_value_inr,discount_applied,discount_percent,customer_total_orders,customer_past_returns,customer_return_rate,customer_account_age_days,same_address_accounts,return_reason,item_returned_matches_order,item_condition_on_return,delivery_confirmed,claimed_non_delivery,return_pickup_attempted,return_pickup_successful,return_request_weekday,return_after_weekend,refund_amount_inr,previous_fraud_flag,support_contacts_pre_return,is_fraud,fraud_type
CUST94115,ORD635634,clothing,2023-12-03,2023-12-18,15,14,0,1339.09,0,0,16,2,0.125,314,1,size_issue,1,new_without_tags,1,0,1,1,0,1,1272.14,0,0,0,none
CUST31020,ORD346617,footwear,2024-02-24,2024-02-28,4,30,1,2592.84,0,0,5,0,0.0,627,1,defective_product,1,new_with_tags,1,0,1,1,2,0,2463.2,0,1,0,none
CUST76462,ORD714646,footwear,2023-11-11,2023-11-18,7,30,1,200.0,1,13,17,0,0.0,1614,1,changed_mind,1,new_without_tags,1,0,1,1,5,0,190.0,0,0,0,none
CUST45629,ORD356949,clothing,2023-03-30,2023-04-11,12,14,1,1237.83,0,0,2,3,1.0,1462,1,wrong_item_sent,1,lightly_used,1,0,1,1,1,1,1175.94,0,0,0,none
CUST70786,ORD958002,electronics,2023-06-17,2023-06-26,9,30,1,612.16,1,16,8,0,0.0,850,1,defective_product,1,new_with_tags,1,0,1,1,0,1,581.55,0,0,0,none
CUST57187,ORD800133,clothing,2023-09-19,2023-09-30,11,30,1,1508.63,1,14,20,3,0.15,92,1,size_issue,1,new_without_tags,1,0,1,1,5,0,1433.2,0,0,0,none
CUST72277,ORD335391,clothing,2024-04-24,2024-05-03,9,14,1,1376.76,0,0,12,1,0.083,1248,1,size_issue,1,new_with_tags,1,0,1,1,4,0,1307.92,0,0,0,none
CUST61248,ORD953309,footwear,2024-01-26,2024-02-04,9,14,1,2459.39,1,7,17,3,0.176,821,1,size_issue,1,damaged,1,0,1,1,6,0,2336.42,0,0,0,none
CUST84922,ORD782017,electronics,2023-12-17,2023-12-29,12,14,1,2274.12,1,7,19,0,0.0,452,1,defective_product,1,new_with_tags,1,0,1,1,4,0,2160.41,0,2,0,none
CUST97416,ORD485602,clothing,2023-07-13,2023-07-17,4,7,1,1890.78,1,7,25,0,0.0,650,1,size_issue,1,new_without_tags,1,0,1,1,0,1,1796.24,0,1,0,none
CUST28367,ORD977135,clothing,2023-05-12,2023-05-15,3,7,1,1103.51,1,6,1,3,1.0,1219,2,size_issue,1,new_with_tags,1,0,1,0,0,1,1048.33,0,0,0,none
CUST98829,ORD122143,home_decor,2023-06-17,2023-07-02,15,14,0,1563.71,1,19,23,0,0.0,806,1,wrong_item_sent,1,new_without_tags,1,0,1,1,6,0,1485.52,0,0,0,none
CUST96431,ORD993077,clothing,2023-09-16,2023-09-28,12,14,1,1736.36,0,0,24,0,0.0,913,1,size_issue,1,new_with_tags,1,0,1,1,3,0,1649.54,0,1,0,none
CUST62354,ORD703726,clothing,2023-04-12,2023-04-21,9,14,1,924.99,0,0,24,2,0.083,1375,1,changed_mind,1,new_without_tags,1,0,1,1,4,0,878.74,0,1,0,none
CUST79951,ORD606592,clothing,2023-04-28,2023-05-06,8,30,1,1091.74,1,10,6,2,0.333,1593,1,wrong_item_sent,1,damaged,1,0,1,1,5,0,1037.15,0,0,0,none
CUST44469,ORD877007,clothing,2023-06-02,2023-06-17,15,7,0,2626.0,1,8,12,0,0.0,607,2,wrong_item_sent,1,new_without_tags,1,0,1,1,5,0,2494.7,0,1,0,none
CUST85454,ORD757066,electronics,2023-09-20,2023-09-23,3,30,1,1586.45,0,0,11,1,0.091,1707,1,changed_mind,1,new_with_tags,1,0,1,1,5,0,1507.13,0,0,0,none
CUST17542,ORD316376,home_decor,2024-02-14,2024-02-18,4,7,1,4115.79,0,0,19,7,0.368,73,2,not_as_described,0,damaged,1,1,1,1,6,0,3842.75,0,3,1,refund_fishing
CUST78233,ORD649923,electronics,2022-05-22,2022-06-09,18,14,0,200.0,1,23,6,0,0.0,123,1,size_issue,1,new_without_tags,1,0,1,1,3,0,190.0,0,0,0,none
CUST89711,ORD638205,electronics,2024-05-13,2024-05-17,4,30,1,615.63,0,0,18,3,0.167,605,1,size_issue,1,new_with_tags,1,0,1,1,4,0,584.85,0,0,0,none
CUST52160,ORD211914,footwear,2023-06-07,2023-06-14,7,14,1,1960.11,1,44,5,4,0.8,266,1,changed_mind,1,new_without_tags,1,0,1,1,1,1,1948.39,0,0,1,wardrobing
CUST17852,ORD454820,clothing,2022-07-20,2022-08-05,16,30,1,2591.99,1,24,2,3,1.0,1182,1,defective_product,1,new_with_tags,1,0,1,0,4,0,2462.39,0,1,0,none
