days_to_return_request,return_window_days,within_return_window,order_value_inr,discount_applied,discount_percent,customer_total_orders,customer_past_returns,customer_return_rate,customer_account_age_days,same_address_accounts,item_returned_matches_order,delivery_confirmed,claimed_non_delivery,return_pickup_attempted,return_pickup_successful,return_request_weekday,return_after_weekend,refund_amount_inr,previous_fraud_flag,support_contacts_pre_return,refund_ratio,high_value_high_returner,new_account_flag,multi_account_flag,false_non_delivery,pickup_failed_flag,discount_abuse_flag,weekend_return_flag,pre_return_support_flag,return_reason_enc,item_condition_enc,cat_accessories,cat_clothing,cat_electronics,cat_footwear,cat_home_decor
16,30,1,1580.92,0,0,8,2,0.25,1794,1,1,1,0,1,1,0,1,1501.87,0,0,0.95,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0
16,14,0,2026.83,0,0,28,2,0.071,832,1,1,1,0,1,1,4,0,1925.49,0,2,0.95,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0
13,14,1,1415.75,1,14,23,2,0.087,1626,1,1,1,0,1,1,5,0,1344.96,0,2,0.95,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
16,14,0,2122.49,0,0,18,3,0.167,1745,1,1,1,0,1,1,6,0,2016.37,0,1,0.95,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
1,7,1,2786.98,1,19,17,7,0.412,346,1,1,1,1,1,0,0,1,2632.2,0,1,0.9445,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0
18,30,1,2649.32,0,0,11,0,0.0,543,1,1,1,0,1,1,3,0,2516.85,0,1,0.95,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
8,14,1,1891.43,1,8,26,3,0.115,726,1,1,1,0,1,1,1,1,1796.86,0,0,0.95,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
8,7,0,3525.89,0,0,8,9,1.0,89,1,0,1,1,1,1,5,0,3232.19,1,2,0.9167,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
16,7,0,2615.72,0,0,1,3,1.0,214,1,1,1,0,1,1,5,0,2484.93,0,0,0.95,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0
20,14,0,200.0,1,12,14,2,0.143,521,1,1,1,0,1,1,4,0,190.0,0,1,0.95,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0
14,14,1,1837.63,0,0,7,3,0.429,1766,1,1,1,0,1,0,5,0,1745.75,0,0,0.95,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0
18,14,0,1129.1,1,5,18,3,0.167,705,1,1,1,0,1,1,2,0,1072.64,0,0,0.95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
18,7,0,1579.35,1,7,8,3,0.375,848,1,1,1,0,1,1,6,0,1500.38,0,0,0.95,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
